pt,eta,efficiency
"[480, 520)","[-3, -2.88)",
"[480, 520)","[-2.88, -2.76)",
"[480, 520)","[-2.76, -2.64)",
"[480, 520)","[-2.64, -2.52)",
"[480, 520)","[-2.52, -2.4)",0.5
"[480, 520)","[-2.4, -2.28)",-0.125
"[480, 520)","[-2.28, -2.16)",0.05263157894736842
"[480, 520)","[-2.16, -2.04)",0.10416666666666667
"[480, 520)","[-2.04, -1.92)",0.06666666666666667
"[480, 520)","[-1.92, -1.8)",0.1
"[480, 520)","[-1.8, -1.68)",0.075
"[480, 520)","[-1.68, -1.56)",-0.2
"[480, 520)","[-1.56, -1.44)",0.18181818181818182
"[480, 520)","[-1.44, -1.32)",-0.2222222222222222
"[480, 520)","[-1.32, -1.2)",0.25
"[480, 520)","[-1.2, -1.08)",-1.0
"[480, 520)","[-1.08, -0.96)",-1.0
"[480, 520)","[-0.96, -0.84)",0.3333333333333333
"[480, 520)","[-0.84, -0.72)",1.0
"[480, 520)","[-0.72, -0.6)",-0.0
"[480, 520)","[-0.6, -0.48)",0.0
"[480, 520)","[-0.48, -0.36)",
"[480, 520)","[-0.36, -0.24)",
"[480, 520)","[-0.24, -0.12)",
"[480, 520)","[-0.12, 0)",
"[480, 520)","[0, 0.12)",0.0
"[480, 520)","[0.12, 0.24)",
"[480, 520)","[0.24, 0.36)",
"[480, 520)","[0.36, 0.48)",
"[480, 520)","[0.48, 0.6)",
"[480, 520)","[0.6, 0.72)",
"[480, 520)","[0.72, 0.84)",
"[480, 520)","[0.84, 0.96)",
"[480, 520)","[0.96, 1.08)",
"[480, 520)","[1.08, 1.2)",
"[480, 520)","[1.2, 1.32)",
"[480, 520)","[1.32, 1.44)",
"[480, 520)","[1.44, 1.56)",
"[480, 520)","[1.56, 1.68)",
"[480, 520)","[1.68, 1.8)",
"[480, 520)","[1.8, 1.92)",
"[480, 520)","[1.92, 2.04)",
"[480, 520)","[2.04, 2.16)",
"[480, 520)","[2.16, 2.28)",
"[480, 520)","[2.28, 2.4)",
"[480, 520)","[2.4, 2.52)",
"[480, 520)","[2.52, 2.64)",
"[480, 520)","[2.64, 2.76)",
"[480, 520)","[2.76, 2.88)",
"[480, 520)","[2.88, 3)",
"[520, 560)","[-3, -2.88)",
"[520, 560)","[-2.88, -2.76)",
"[520, 560)","[-2.76, -2.64)",
"[520, 560)","[-2.64, -2.52)",0.0
"[520, 560)","[-2.52, -2.4)",-0.0
"[520, 560)","[-2.4, -2.28)",0.0625
"[520, 560)","[-2.28, -2.16)",0.14285714285714285
"[520, 560)","[-2.16, -2.04)",0.11904761904761904
