pt,eta,efficiency
"[800, 880)","[0.48, 0.576)",0.4473684210526316
"[800, 880)","[0.576, 0.672)",0.3333333333333333
"[800, 880)","[0.672, 0.768)",-0.5
"[800, 880)","[0.768, 0.864)",0.0
"[800, 880)","[0.864, 0.96)",0.0
"[800, 880)","[0.96, 1.056)",0.0
"[800, 880)","[1.056, 1.152)",0.0
"[800, 880)","[1.152, 1.248)",0.0
"[800, 880)","[1.248, 1.344)",0.0
"[800, 880)","[1.344, 1.44)",0.0
"[800, 880)","[1.44, 1.536)",0.0
"[800, 880)","[1.536, 1.632)",0.0
"[800, 880)","[1.632, 1.728)",0.0
"[800, 880)","[1.728, 1.824)",0.0
"[800, 880)","[1.824, 1.92)",0.0
"[800, 880)","[1.92, 2.016)",0.0
"[800, 880)","[2.016, 2.112)",0.0
"[800, 880)","[2.112, 2.208)",0.0
"[800, 880)","[2.208, 2.304)",0.0
"[800, 880)","[2.304, 2.4)",0.0
"[880, 960)","[0, 0.096)",0.2504930966469428
"[880, 960)","[0.096, 0.192)",0.3103248259860789
"[880, 960)","[0.192, 0.288)",0.29298642533936653
"[880, 960)","[0.288, 0.384)",0.2897196261682243
"[880, 960)","[0.384, 0.48)",0.3026315789473684
"[880, 960)","[0.48, 0.576)",0.391304347826087
"[880, 960)","[0.576, 0.672)",0.4
"[880, 960)","[0.672, 0.768)",0.0
"[880, 960)","[0.768, 0.864)",0.0
"[880, 960)","[0.864, 0.96)",0.0
"[880, 960)","[0.96, 1.056)",0.0
"[880, 960)","[1.056, 1.152)",0.0
"[880, 960)","[1.152, 1.248)",0.0
"[880, 960)","[1.248, 1.344)",0.0
"[880, 960)","[1.344, 1.44)",0.0
"[880, 960)","[1.44, 1.536)",0.0
"[880, 960)","[1.536, 1.632)",0.0
"[880, 960)","[1.632, 1.728)",0.0
"[880, 960)","[1.728, 1.824)",0.0
"[880, 960)","[1.824, 1.92)",0.0
"[880, 960)","[1.92, 2.016)",0.0
"[880, 960)","[2.016, 2.112)",0.0
"[880, 960)","[2.112, 2.208)",0.0
"[880, 960)","[2.208, 2.304)",0.0
"[880, 960)","[2.304, 2.4)",0.0
"[960, 1040)","[0, 0.096)",0.25143513203214696
"[960, 1040)","[0.096, 0.192)",0.30726439790575916
"[960, 1040)","[0.192, 0.288)",0.291393621668851
"[960, 1040)","[0.288, 0.384)",0.27405247813411077
"[960, 1040)","[0.384, 0.48)",0.3217391304347826
"[960, 1040)","[0.48, 0.576)",0.13043478260869565
"[960, 1040)","[0.576, 0.672)",0.5555555555555556
"[960, 1040)","[0.672, 0.768)",0.0
"[960, 1040)","[0.768, 0.864)",0.0
"[960, 1040)","[0.864, 0.96)",0.0
"[960, 1040)","[0.96, 1.056)",0.0
"[960, 1040)","[1.056, 1.152)",0.0
"[960, 1040)","[1.152, 1.248)",0.0
"[960, 1040)","[1.248, 1.344)",0.0
"[960, 1040)","[1.344, 1.44)",0.0
"[960, 1040)","[1.44, 1.536)",0.0
"[960, 1040)","[1.536, 1.632)",0.0
"[960, 1040)","[1.632, 1.728)",0.0
"[960, 1040)","[1.728, 1.824)",0.0
"[960, 1040)","[1.824, 1.92)",0.0
"[960, 1040)","[1.92, 2.016)",0.0
"[960, 1040)","[2.016, 2.112)",0.0
"[960, 1040)","[2.112, 2.208)",0.0
"[960, 1040)","[2.208, 2.304)",0.0
"[960, 1040)","[2.304, 2.4)",0.0
"[1040, 1120)","[0, 0.096)",0.2524752475247525
"[1040, 1120)","[0.096, 0.192)",0.2962264150943396
"[1040, 1120)","[0.192, 0.288)",0.2674135411592791
"[1040, 1120)","[0.288, 0.384)",0.2586750788643533
"[1040, 1120)","[0.384, 0.48)",0.25925925925925924
"[1040, 1120)","[0.48, 0.576)",0.2
"[1040, 1120)","[0.576, 0.672)",0.25
"[1040, 1120)","[0.672, 0.768)",1.0
"[1040, 1120)","[0.768, 0.864)",0.0
"[1040, 1120)","[0.864, 0.96)",0.0
"[1040, 1120)","[0.96, 1.056)",0.0
"[1040, 1120)","[1.056, 1.152)",0.0
"[1040, 1120)","[1.152, 1.248)",0.0
"[1040, 1120)","[1.248, 1.344)",0.0
"[1040, 1120)","[1.344, 1.44)",0.0
"[1040, 1120)","[1.44, 1.536)",0.0
"[1040, 1120)","[1.536, 1.632)",0.0
"[1040, 1120)","[1.632, 1.728)",0.0
"[1040, 1120)","[1.728, 1.824)",0.0
"[1040, 1120)","[1.824, 1.92)",0.0
"[1040, 1120)","[1.92, 2.016)",0.0
"[1040, 1120)","[2.016, 2.112)",0.0
"[1040, 1120)","[2.112, 2.208)",0.0
"[1040, 1120)","[2.208, 2.304)",0.0
"[1040, 1120)","[2.304, 2.4)",0.0
"[1120, 1200)","[0, 0.096)",0.2683982683982684
"[1120, 1200)","[0.096, 0.192)",0.31141868512110726
"[1120, 1200)","[0.192, 0.288)",0.2974683544303797
"[1120, 1200)","[0.288, 0.384)",0.2956989247311828
"[1120, 1200)","[0.384, 0.48)",0.20618556701030927
"[1120, 1200)","[0.48, 0.576)",0.36363636363636365
